ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005016900,16,1586,451,674,20,834,16,6,36,Claremont Village-Claremont (East)
36005017100,16,10,2,1,0,7,0,0,2,Claremont Park
36005017300,16,6395,1710,3933,98,2149,61,60,94,Concourse-Concourse Village
36005017500,16,6988,1825,4045,141,2594,28,78,102,Concourse-Concourse Village
36005017701,16,4754,1328,2871,224,1502,39,38,80,Concourse-Concourse Village
36005017702,16,4979,1282,2930,67,1758,75,70,79,Mount Eden-Claremont (West)
36005017901,16,5124,1377,3726,66,1042,201,54,35,Concourse-Concourse Village
36005017902,16,3447,914,2130,51,1198,14,16,38,Mount Eden-Claremont (West)
36005018101,16,3299,852,1892,72,1219,28,20,68,Concourse-Concourse Village
36005018102,16,5510,1361,3058,130,1952,254,34,82,Concourse-Concourse Village
36005018301,16,4423,794,2474,262,1292,233,61,101,Concourse-Concourse Village
36005018302,16,3686,921,2238,45,1226,44,47,86,Concourse-Concourse Village
36005018400,13,4329,907,1955,1804,211,252,46,61,Throgs Neck-Schuylerville
36005018501,16,3076,840,1436,70,1463,24,34,49,Morrisania
36005018502,17,6442,1697,3606,144,2478,32,64,118,Morrisania
36005018900,16,8360,2020,5509,222,2347,66,81,135,Highbridge
36005019300,16,6020,1591,3769,97,1967,61,49,77,Highbridge
36005019400,13,2022,425,1294,304,254,84,43,43,Throgs Neck-Schuylerville
36005019500,16,7509,1749,4927,201,2134,68,61,118,Concourse-Concourse Village
36005019700,16,7213,1943,5066,59,1403,513,79,93,Concourse-Concourse Village
36005019900,16,7909,1987,5663,134,1918,49,67,78,Highbridge
36005020000,18,5235,1424,2501,278,474,1834,68,80,Westchester Square
36005020100,16,4345,1125,2777,99,1313,41,51,64,Highbridge
36005020200,18,2789,735,1464,240,242,720,61,62,Westchester Square
36005020400,18,3129,771,1756,196,314,707,92,64,Westchester Square
36005020501,14,7859,2040,5086,99,2492,11,72,99,University Heights (South)-Morris Heights
36005020502,14,2462,532,1638,42,719,15,22,26,University Heights (South)-Morris Heights
36005020601,18,3277,752,1587,243,347,927,61,112,Westchester Square
36005020900,16,4823,1172,3164,108,1407,35,56,53,Mount Eden-Claremont (West)
36005021001,18,8946,1756,3069,232,4001,1323,101,220,Parkchester
36005021002,18,7855,1663,2462,188,3306,1635,84,180,Parkchester
36005021100,16,5822,1596,3713,79,1899,30,35,66,Highbridge
36005021200,18,6596,1422,1694,143,2028,2509,72,150,Parkchester
36005021301,14,1264,305,960,18,246,5,16,19,University Heights (South)-Morris Heights
36005021302,16,5830,1462,3628,44,2043,29,43,43,Mount Eden-Claremont (West)
36005021501,14,4078,1070,3005,49,929,21,28,46,University Heights (South)-Morris Heights
36005021502,14,6360,1663,4385,104,1677,9,84,101,University Heights (South)-Morris Heights
36005021601,18,4701,1283,2835,304,984,394,77,107,Soundview-Bruckner-Bronx River
36005021602,18,6237,1292,1967,168,2037,1806,111,148,Parkchester
36005021700,14,5006,1192,2664,122,1998,49,58,115,University Heights (South)-Morris Heights
36005021800,17,6610,1641,4278,206,1485,340,156,145,Soundview-Bruckner-Bronx River
36005021900,16,1176,241,916,32,192,16,8,12,Mount Eden-Claremont (West)
36005022000,15,2511,642,1654,82,626,51,44,54,West Farms
