ed,cd,hochul,zeldin,gov_votes,voters_nov22
64039,50,160.0,564.0,730.0,1420.0
64040,50,151.0,137.0,293.0,1035.0
64041,50,163.0,426.0,593.0,1340.0
64042,50,127.0,328.0,456.0,1383.0
64043,50,146.0,441.0,589.0,1546.0
64044,50,157.0,402.0,567.0,1610.0
64045,50,254.0,478.0,737.0,1663.0
64046,50,158.0,206.0,368.0,1174.0
64047,49,134.0,231.0,369.0,872.0
64048,49,93.0,165.0,258.0,684.0
64049,50,0.0,0.0,0.0,
64050,49,0.0,0.0,0.0,
64051,49,0.0,0.0,0.0,
64052,50,0.0,0.0,0.0,
64053,50,0.0,0.0,0.0,
64054,,0.0,0.0,0.0,
64055,,0.0,0.0,0.0,
64056,50,0.0,0.0,0.0,
64057,,0.0,0.0,0.0,
64058,,0.0,0.0,0.0,
64059,51,0.0,0.0,0.0,
64060,50,160.0,357.0,522.0,1110.0
64061,50,105.0,220.0,326.0,734.0
64062,50,98.0,260.0,363.0,830.0
64063,50,0.0,0.0,0.0,
64075,47,427.0,324.0,765.0,1621.0
64076,47,110.0,64.0,179.0,689.0
64077,47,495.0,209.0,725.0,1885.0
64078,47,271.0,173.0,446.0,1155.0
64079,47,298.0,166.0,467.0,1243.0
64080,47,380.0,235.0,622.0,1379.0
64081,47,437.0,259.0,709.0,1410.0
